N,P,K,temperatura,umidade,ph,precipitacao,indice_sucesso,tipo_temperatura,tipo_solo,solo_nutrientes,tipo_cultura,rotulo
22,49,22,"28,23","61,56","3,71","72,67","88,12",Moderado,Ácido,Alto,Grão,Feijão-traça
9,51,19,"27,04","49,33","5,49","48,25","85,43",Moderado,Ácido,Alto,Grão,Feijão-traça
28,48,15,"25,16","55,25","9,25","40,9","84,79",Moderado,Alcalino,Alto,Grão,Feijão-traça
26,50,19,"27,32","51,67","6,01","32,56","87,7",Moderado,Neutro,Alto,Grão,Feijão-traça
36,56,20,"25,41","49,66","7,44","31,87","76,68",Moderado,Neutro,Alto,Grão,Feijão-traça
8,60,18,"31,22","46,02","3,81","53,12","78,9",Quente,Ácido,Alto,Grão,Feijão-traça
24,37,21,"30,57","58,23","5,82","62,75","86,8",Quente,Neutro,Alto,Grão,Feijão-traça
22,43,24,"25,43","53,22","4,52","46,19","91,44",Moderado,Ácido,Alto,Grão,Feijão-traça
36,43,24,"27,09","43,65","3,51","41,54","77,06",Moderado,Ácido,Alto,Grão,Feijão-traça
22,44,24,"24,31","56,33","6,03","59,0","89,24",Moderado,Neutro,Alto,Grão,Feijão-traça
17,43,22,"30,06","45,9","5,5","41,06","86,67",Quente,Neutro,Alto,Grão,Feijão-traça
8,45,15,"28,1","60,98","4,61","33,84","76,04",Moderado,Ácido,Alto,Grão,Feijão-traça
7,56,23,"26,34","40,01","5,55","55,5","77,1",Moderado,Neutro,Alto,Grão,Feijão-traça
36,57,16,"28,61","57,14","8,29","57,03","78,68",Moderado,Alcalino,Alto,Grão,Feijão-traça
11,45,19,"28,7","44,36","3,83","44,12","84,46",Moderado,Ácido,Alto,Grão,Feijão-traça
6,36,22,"24,22","59,79","8,87","42,25","75,03",Moderado,Alcalino,Alto,Grão,Feijão-traça
17,57,20,"28,51","45,2","3,79","66,18","85,68",Moderado,Ácido,Alto,Grão,Feijão-traça
4,47,20,"25,98","64,96","4,19","72,19","74,06",Moderado,Ácido,Alto,Grão,Feijão-traça
9,49,16,"30,88","41,37","7,66","55,05","79,96",Quente,Alcalino,Alto,Grão,Feijão-traça
25,51,24,"25,5","61,67","9,39","65,08","84,31",Moderado,Alcalino,Alto,Grão,Feijão-traça
36,44,21,"25,13","51,33","4,52","38,49","80,13",Moderado,Ácido,Alto,Grão,Feijão-traça
21,38,20,"27,11","63,57","5,79","62,2","88,51",Moderado,Neutro,Alto,Grão,Feijão-traça
37,57,20,"31,1","44,82","7,35","70,8","73,88",Quente,Neutro,Alto,Grão,Feijão-traça
32,48,18,"26,46","56,4","5,99","64,16","83,69",Moderado,Neutro,Alto,Grão,Feijão-traça
29,44,20,"30,04","63,56","8,62","31,83","81,89",Quente,Alcalino,Alto,Grão,Feijão-traça
25,51,18,"27,78","54,82","9,46","50,28","93,29",Moderado,Alcalino,Alto,Grão,Feijão-traça
10,44,24,"30,99","43,02","8,03","58,28","79,47",Quente,Alcalino,Alto,Grão,Feijão-traça
23,35,18,"26,49","47,37","5,41","36,99","84,99",Moderado,Ácido,Alto,Grão,Feijão-traça
9,60,23,"31,97","57,17","6,28","64,26","76,14",Quente,Neutro,Alto,Grão,Feijão-traça
3,58,21,"25,36","46,83","9,16","55,61","76,47",Moderado,Alcalino,Alto,Grão,Feijão-traça
22,42,22,"25,54","56,97","7,89","48,47","92,37",Moderado,Alcalino,Alto,Grão,Feijão-traça
12,39,21,"28,99","62,86","8,18","70,47","79,12",Moderado,Alcalino,Alto,Grão,Feijão-traça
39,36,22,"29,34","60,5","9,07","34,03","72,15",Moderado,Alcalino,Alto,Grão,Feijão-traça
32,41,16,"28,64","61,39","7,7","68,55","77,38",Moderado,Alcalino,Alto,Grão,Feijão-traça
30,41,15,"24,83","44,17","5,89","52,08","81,51",Moderado,Neutro,Alto,Grão,Feijão-traça
19,36,22,"25,45","58,55","6,16","57,05","87,26",Moderado,Neutro,Alto,Grão,Feijão-traça
4,46,15,"31,01","62,4","3,5","63,77","72,78",Quente,Ácido,Alto,Grão,Feijão-traça
21,39,20,"27,06","52,3","7,39","60,75","92,29",Moderado,Neutro,Alto,Grão,Feijão-traça
35,57,25,"27,1","42,26","8,34","71,13","71,86",Moderado,Alcalino,Alto,Grão,Feijão-traça
22,55,24,"28,57","57,31","8,66","64,53","88,17",Moderado,Alcalino,Alto,Grão,Feijão-traça
35,51,17,"28,8","49,84","3,56","40,86","81,0",Moderado,Ácido,Alto,Grão,Feijão-traça
17,56,17,"27,94","45,41","5,96","69,66","82,52",Moderado,Neutro,Alto,Grão,Feijão-traça
28,57,17,"30,48","61,58","9,42","61,87","81,65",Quente,Alcalino,Alto,Grão,Feijão-traça
22,36,16,"30,58","50,77","8,18","64,59","85,39",Quente,Alcalino,Alto,Grão,Feijão-traça
11,41,19,"26,86","41,81","5,13","44,14","81,79",Moderado,Ácido,Alto,Grão,Feijão-traça
38,38,18,"26,31","61,19","6,29","35,73","73,15",Moderado,Neutro,Alto,Grão,Feijão-traça
23,37,24,"28,78","44,23","7,99","33,96","83,1",Moderado,Alcalino,Alto,Grão,Feijão-traça
25,35,20,"28,9","43,35","8,92","71,9","82,3",Moderado,Alcalino,Alto,Grão,Feijão-traça
40,45,20,"29,38","57,7","6,88","38,34","78,03",Moderado,Neutro,Alto,Grão,Feijão-traça
23,58,19,"24,17","58,25","5,24","59,19","87,73",Moderado,Ácido,Alto,Grão,Feijão-traça
2,56,23,"26,65","59,79","7,55","36,92","72,19",Moderado,Alcalino,Alto,Grão,Feijão-traça
3,56,17,"28,2","53,51","8,71","52,14","79,81",Moderado,Alcalino,Alto,Grão,Feijão-traça
26,51,25,"28,76","52,63","7,79","55,22","89,68",Moderado,Alcalino,Alto,Grão,Feijão-traça
39,42,20,"29,35","61,25","8,06","40,83","77,48",Moderado,Alcalino,Alto,Grão,Feijão-traça
27,59,20,"28,01","52,61","4,4","36,01","86,45",Moderado,Ácido,Alto,Grão,Feijão-traça
24,45,19,"26,86","48,82","5,95","34,74","88,44",Moderado,Neutro,Alto,Grão,Feijão-traça
7,40,17,"31,21","40,93","8,53","53,79","76,87",Quente,Alcalino,Alto,Grão,Feijão-traça
15,45,23,"24,2","61,43","7,22","46,02","85,03",Moderado,Neutro,Alto,Grão,Feijão-traça
26,52,23,"29,99","49,6","4,93","52,93","90,05",Moderado,Ácido,Alto,Grão,Feijão-traça
20,45,16,"29,94","54,62","4,63","45,44","90,99",Moderado,Ácido,Alto,Grão,Feijão-traça
34,54,24,"31,21","41,56","5,03","68,8","73,9",Quente,Ácido,Alto,Grão,Feijão-traça
19,51,25,"26,8","48,24","3,53","43,88","88,39",Moderado,Ácido,Alto,Grão,Feijão-traça
29,41,21,"31,49","62,85","8,87","64,57","81,72",Quente,Alcalino,Alto,Grão,Feijão-traça
20,50,22,"31,0","46,43","9,41","38,32","88,77",Quente,Alcalino,Alto,Grão,Feijão-traça
11,40,23,"29,61","63,05","5,8","50,2","82,56",Moderado,Neutro,Alto,Grão,Feijão-traça
15,54,15,"29,98","57,03","8,35","44,86","84,27",Moderado,Alcalino,Alto,Grão,Feijão-traça
35,55,22,"30,89","52,63","8,63","55,52","82,41",Quente,Alcalino,Alto,Grão,Feijão-traça
9,59,25,"30,39","60,16","7,7","35,37","73,94",Quente,Alcalino,Alto,Grão,Feijão-traça
40,45,18,"30,44","55,21","5,26","30,92","74,12",Quente,Ácido,Alto,Grão,Feijão-traça
35,38,19,"25,33","63,18","9,11","32,71","74,12",Moderado,Alcalino,Alto,Grão,Feijão-traça
14,58,17,"30,54","59,97","4,61","33,49","78,8",Quente,Ácido,Alto,Grão,Feijão-traça
40,55,18,"30,38","40,59","7,12","47,95","75,02",Quente,Neutro,Alto,Grão,Feijão-traça
18,36,23,"24,02","53,77","7,21","35,03","82,95",Moderado,Neutro,Alto,Grão,Feijão-traça
35,52,15,"28,7","61,15","9,94","65,68","76,25",Moderado,Alcalino,Alto,Grão,Feijão-traça
4,59,22,"29,34","49,0","8,91","42,44","76,34",Moderado,Alcalino,Alto,Grão,Feijão-traça
22,51,16,"27,97","61,35","8,64","70,1","86,19",Moderado,Alcalino,Alto,Grão,Feijão-traça
33,47,17,"24,87","48,28","8,62","63,92","80,37",Moderado,Alcalino,Alto,Grão,Feijão-traça
2,51,17,"25,88","45,96","5,84","38,53","73,44",Moderado,Neutro,Alto,Grão,Feijão-traça
16,51,21,"31,02","49,98","3,53","32,81","85,45",Quente,Ácido,Alto,Grão,Feijão-traça
19,55,20,"27,43","87,81","7,19","54,73","92,32",Moderado,Neutro,Alto,Grão,Feijão-mungo
8,54,20,"28,33","80,77","7,03","38,8","82,86",Moderado,Neutro,Alto,Grão,Feijão-mungo
36,55,20,"27,01","84,34","6,64","55,3","81,76",Moderado,Neutro,Alto,Grão,Feijão-mungo
10,56,16,"28,17","81,05","6,83","36,36","79,73",Moderado,Neutro,Alto,Grão,Feijão-mungo
22,56,17,"29,88","87,33","6,89","44,75","91,31",Moderado,Neutro,Alto,Grão,Feijão-mungo
9,57,24,"29,89","89,72","7,17","42,99","80,11",Moderado,Neutro,Alto,Grão,Feijão-mungo
34,59,23,"28,56","83,25","6,94","56,48","79,67",Moderado,Neutro,Alto,Grão,Feijão-mungo
31,51,25,"27,54","85,57","7,2","53,02","84,26",Moderado,Neutro,Alto,Grão,Feijão-mungo
0,49,18,"29,68","87,94","6,99","41,82","77,74",Moderado,Neutro,Alto,Grão,Feijão-mungo
21,39,20,"28,14","82,12","7,06","46,76","95,51",Moderado,Neutro,Alto,Grão,Feijão-mungo
28,35,22,"29,53","86,73","7,16","59,87","83,54",Moderado,Neutro,Alto,Grão,Feijão-mungo
17,52,17,"27,88","86,45","6,36","44,64","90,9",Moderado,Neutro,Alto,Grão,Feijão-mungo
24,42,23,"28,22","82,36","6,43","44,01","90,82",Moderado,Neutro,Alto,Grão,Feijão-mungo
28,46,16,"29,01","84,96","6,66","45,91","89,49",Moderado,Neutro,Alto,Grão,Feijão-mungo
21,38,21,"29,76","86,45","6,64","37,55","91,13",Moderado,Neutro,Alto,Grão,Feijão-mungo
34,60,25,"29,78","85,17","6,79","40,78","77,46",Moderado,Neutro,Alto,Grão,Feijão-mungo
19,53,22,"27,86","80,45","6,85","42,83","91,32",Moderado,Neutro,Alto,Grão,Feijão-mungo
31,58,15,"27,11","84,97","7,12","51,53","82,18",Moderado,Neutro,Alto,Grão,Feijão-mungo
19,35,24,"27,11","83,64","6,88","49,12","89,19",Moderado,Neutro,Alto,Grão,Feijão-mungo
24,53,17,"28,95","89,08","6,42","57,66","89,05",Moderado,Neutro,Alto,Grão,Feijão-mungo
13,47,20,"29,22","87,94","6,54","43,14","90,75",Moderado,Neutro,Alto,Grão,Feijão-mungo
31,53,16,"28,74","85,82","6,45","48,55","86,55",Moderado,Neutro,Alto,Grão,Feijão-mungo
28,45,23,"29,65","80,3","6,49","56,76","86,46",Moderado,Neutro,Alto,Grão,Feijão-mungo
31,37,21,"27,24","86,4","6,71","37,31","82,73",Moderado,Neutro,Alto,Grão,Feijão-mungo
33,60,15,"28,95","81,67","6,51","56,51","78,11",Moderado,Neutro,Alto,Grão,Feijão-mungo
34,45,21,"28,19","82,61","6,29","37,01","83,24",Moderado,Neutro,Alto,Grão,Feijão-mungo
13,57,25,"28,3","86,21","6,86","50,47","84,94",Moderado,Neutro,Alto,Grão,Feijão-mungo
33,57,17,"27,9","88,72","6,78","57,8","80,4",Moderado,Neutro,Alto,Grão,Feijão-mungo
32,57,22,"28,69","87,5","6,77","44,57","84,24",Moderado,Neutro,Alto,Grão,Feijão-mungo
23,59,25,"27,83","88,73","6,32","56,69","86,08",Moderado,Neutro,Alto,Grão,Feijão-mungo
35,41,18,"28,71","81,59","6,71","59,87","80,28",Moderado,Neutro,Alto,Grão,Feijão-mungo
6,48,24,"28,64","84,61","6,79","48,48","84,11",Moderado,Neutro,Alto,Grão,Feijão-mungo
29,36,25,"28,29","88,44","7,13","48,57","84,59",Moderado,Neutro,Alto,Grão,Feijão-mungo
4,36,22,"27,61","86,13","7,01","43,8","78,5",Moderado,Neutro,Alto,Grão,Feijão-mungo
10,59,22,"28,61","86,99","7,16","36,95","81,07",Moderado,Neutro,Alto,Grão,Feijão-mungo
14,48,21,"29,25","84,8","6,99","53,43","90,96",Moderado,Neutro,Alto,Grão,Feijão-mungo
8,50,21,"28,63","89,11","6,22","50,5","86,29",Moderado,Neutro,Alto,Grão,Feijão-mungo
20,40,15,"29,57","88,08","7,2","45,04","90,29",Moderado,Neutro,Alto,Grão,Feijão-mungo
36,43,22,"27,83","87,17","6,39","58,37","80,62",Moderado,Neutro,Alto,Grão,Feijão-mungo
14,57,15,"29,88","83,15","6,62","40,12","82,84",Moderado,Neutro,Alto,Grão,Feijão-mungo
11,60,23,"27,34","88,5","7,03","51,1","82,75",Moderado,Neutro,Alto,Grão,Feijão-mungo
10,59,15,"29,83","89,3","6,32","58,87","77,95",Moderado,Neutro,Alto,Grão,Feijão-mungo
7,60,25,"28,28","82,76","6,4","56,05","76,79",Moderado,Neutro,Alto,Grão,Feijão-mungo
2,47,15,"29,87","85,99","6,4","58,41","76,41",Moderado,Neutro,Alto,Grão,Feijão-mungo
20,45,22,"29,59","89,99","6,9","54,96","92,87",Moderado,Neutro,Alto,Grão,Feijão-mungo
2,39,15,"28,07","82,91","6,48","49,62","76,73",Moderado,Neutro,Alto,Grão,Feijão-mungo
27,40,24,"27,84","90,0","7,06","52,85","86,39",Moderado,Neutro,Alto,Grão,Feijão-mungo
35,48,15,"27,11","87,45","6,98","55,04","81,04",Moderado,Neutro,Alto,Grão,Feijão-mungo
4,59,25,"27,69","81,94","6,23","54,62","74,75",Moderado,Neutro,Alto,Grão,Feijão-mungo
1,48,24,"29,35","85,6","6,23","59,04","76,25",Moderado,Neutro,Alto,Grão,Feijão-mungo
36,43,21,"28,36","84,86","7,14","52,93","83,84",Moderado,Neutro,Alto,Grão,Feijão-mungo
11,46,24,"27,65","89,81","6,46","56,53","84,0",Moderado,Neutro,Alto,Grão,Feijão-mungo
34,47,19,"27,31","85,45","6,57","53,15","86,49",Moderado,Neutro,Alto,Grão,Feijão-mungo
21,44,18,"27,07","86,9","7,13","50,47","95,43",Moderado,Neutro,Alto,Grão,Feijão-mungo
17,58,20,"28,07","85,92","6,43","39,24","89,44",Moderado,Neutro,Alto,Grão,Feijão-mungo
25,40,21,"27,73","81,14","6,25","44,18","90,53",Moderado,Neutro,Alto,Grão,Feijão-mungo
2,38,18,"27,54","89,93","6,62","45,49","77,64",Moderado,Neutro,Alto,Grão,Feijão-mungo
9,48,20,"29,66","84,28","6,38","56,1","86,57",Moderado,Neutro,Alto,Grão,Feijão-mungo
37,49,25,"29,91","85,85","6,42","41,39","79,09",Moderado,Neutro,Alto,Grão,Feijão-mungo
36,38,15,"28,36","87,6","6,32","58,0","76,91",Moderado,Neutro,Alto,Grão,Feijão-mungo
40,58,15,"29,46","87,61","6,98","43,15","74,28",Moderado,Neutro,Alto,Grão,Feijão-mungo
30,44,16,"29,73","82,89","6,44","50,92","86,36",Moderado,Neutro,Alto,Grão,Feijão-mungo
1,59,23,"27,47","87,18","7,18","43,78","74,83",Moderado,Neutro,Alto,Grão,Feijão-mungo
9,48,22,"27,77","87,1","6,4","49,51","87,3",Moderado,Neutro,Alto,Grão,Feijão-mungo
14,41,17,"29,13","88,48","7,09","36,45","84,78",Moderado,Neutro,Alto,Grão,Feijão-mungo
35,52,19,"27,11","89,9","6,7","37,46","81,03",Moderado,Neutro,Alto,Grão,Feijão-mungo
31,48,17,"28,88","86,94","6,59","53,8","87,04",Moderado,Neutro,Alto,Grão,Feijão-mungo
4,41,20,"28,15","83,8","6,65","37,45","79,86",Moderado,Neutro,Alto,Grão,Feijão-mungo
30,37,25,"29,89","80,14","7,12","54,8","80,87",Moderado,Neutro,Alto,Grão,Feijão-mungo
9,35,20,"27,42","80,98","6,91","40,53","81,8",Moderado,Neutro,Alto,Grão,Feijão-mungo
20,41,20,"29,27","89,49","7,07","50,92","94,81",Moderado,Neutro,Alto,Grão,Feijão-mungo
37,50,23,"29,65","88,49","6,53","56,02","79,84",Moderado,Neutro,Alto,Grão,Feijão-mungo
34,35,21,"28,45","82,68","6,68","58,19","80,43",Moderado,Neutro,Alto,Grão,Feijão-mungo
14,37,15,"27,96","83,98","6,58","48,94","85,93",Moderado,Neutro,Alto,Grão,Feijão-mungo
23,39,22,"29,26","81,98","6,86","42,02","90,39",Moderado,Neutro,Alto,Grão,Feijão-mungo
5,45,21,"28,36","88,01","6,49","43,05","83,12",Moderado,Neutro,Alto,Grão,Feijão-mungo
22,37,20,"27,63","86,49","6,61","39,26","91,6",Moderado,Neutro,Alto,Grão,Feijão-mungo
40,51,17,"28,66","86,12","6,86","50,02","80,43",Moderado,Neutro,Alto,Grão,Feijão-mungo
27,56,20,"29,21","87,11","6,42","51,54","90,25",Moderado,Neutro,Alto,Grão,Feijão-mungo
31,40,22,"29,41","86,16","6,37","53,35","85,35",Moderado,Neutro,Alto,Grão,Feijão-mungo
38,36,21,"28,03","84,88","6,56","36,12","76,93",Moderado,Neutro,Alto,Grão,Feijão-mungo
6,37,17,"28,09","80,35","6,76","38,14","77,27",Moderado,Neutro,Alto,Grão,Feijão-mungo
6,47,18,"29,16","80,28","6,72","40,17","82,21",Moderado,Neutro,Alto,Grão,Feijão-mungo
24,44,17,"29,86","80,03","6,67","50,66","91,42",Moderado,Neutro,Alto,Grão,Feijão-mungo
25,59,19,"29,07","83,69","6,63","43,95","89,75",Moderado,Neutro,Alto,Grão,Feijão-mungo
32,56,21,"27,39","88,67","6,7","58,3","82,55",Moderado,Neutro,Alto,Grão,Feijão-mungo
8,45,18,"27,93","85,42","7,01","43,25","85,17",Moderado,Neutro,Alto,Grão,Feijão-mungo
19,39,17,"29,28","81,8","6,89","44,47","90,58",Moderado,Neutro,Alto,Grão,Feijão-mungo
39,37,15,"29,0","83,79","6,82","59,84","73,44",Moderado,Neutro,Alto,Grão,Feijão-mungo
33,37,19,"27,93","86,55","7,18","43,48","83,86",Moderado,Neutro,Alto,Grão,Feijão-mungo
26,54,17,"28,55","88,96","6,27","49,49","90,18",Moderado,Neutro,Alto,Grão,Feijão-mungo
21,51,15,"29,36","89,19","6,68","48,3","93,35",Moderado,Neutro,Alto,Grão,Feijão-mungo
22,54,20,"28,56","83,64","6,69","41,01","93,79",Moderado,Neutro,Alto,Grão,Feijão-mungo
29,45,16,"28,44","87,91","6,58","43,12","87,25",Moderado,Neutro,Alto,Grão,Feijão-mungo
4,40,21,"28,8","80,46","6,73","44,3","80,44",Moderado,Neutro,Alto,Grão,Feijão-mungo
10,37,22,"28,73","89,13","7,07","58,53","81,55",Moderado,Neutro,Alto,Grão,Feijão-mungo
4,44,19,"27,96","83,53","6,92","43,26","82,14",Moderado,Neutro,Alto,Grão,Feijão-mungo
20,45,17,"28,17","83,7","6,77","37,25","91,6",Moderado,Neutro,Alto,Grão,Feijão-mungo
23,45,23,"28,78","86,69","6,98","56,12","91,94",Moderado,Neutro,Alto,Grão,Feijão-mungo
25,48,21,"28,44","83,49","6,27","52,55","93,74",Moderado,Neutro,Alto,Grão,Feijão-mungo
56,79,15,"29,48","63,2","7,45","71,89","85,08",Moderado,Neutro,Alto,Grão,Feijão-preto
25,62,21,"26,73","68,14","7,04","67,15","88,11",Moderado,Neutro,Alto,Grão,Feijão-preto
42,61,22,"26,27","62,29","7,42","70,23","91,83",Moderado,Neutro,Alto,Grão,Feijão-preto
42,73,25,"34,04","67,21","6,5","73,24","88,71",Quente,Neutro,Alto,Grão,Feijão-preto
44,58,18,"28,04","65,07","6,81","72,5","92,71",Moderado,Neutro,Alto,Grão,Feijão-preto
50,55,16,"28,81","65,34","7,58","62,26","87,87",Moderado,Alcalino,Alto,Grão,Feijão-preto
35,72,21,"34,04","64,29","7,74","66,86","92,54",Quente,Alcalino,Alto,Grão,Feijão-preto
30,64,20,"33,86","61,57","6,57","68,02","91,21",Quente,Neutro,Alto,Grão,Feijão-preto
27,64,21,"32,84","68,68","7,54","73,67","88,27",Quente,Alcalino,Alto,Grão,Feijão-preto
50,74,17,"27,1","63,36","6,54","73,85","88,78",Moderado,Neutro,Alto,Grão,Feijão-preto
39,73,24,"25,66","61,18","7,22","69,29","90,33",Moderado,Neutro,Alto,Grão,Feijão-preto
57,67,25,"32,35","66,61","7,55","64,56","85,3",Quente,Alcalino,Alto,Grão,Feijão-preto
52,63,19,"29,59","68,32","6,93","67,53","92,58",Moderado,Neutro,Alto,Grão,Feijão-preto
55,66,22,"30,91","68,79","7,75","66,64","89,24",Quente,Alcalino,Alto,Grão,Feijão-preto
51,56,18,"28,13","64,21","6,71","70,86","89,53",Moderado,Neutro,Alto,Grão,Feijão-preto
36,66,15,"30,09","69,35","6,67","67,14","92,96",Quente,Neutro,Alto,Grão,Feijão-preto
59,55,19,"31,74","62,51","7,33","68,97","86,89",Quente,Neutro,Alto,Grão,Feijão-preto
50,58,23,"27,81","62,5","7,6","69,76","87,91",Moderado,Alcalino,Alto,Grão,Feijão-preto
30,65,25,"32,89","64,59","7,71","71,51","87,58",Quente,Alcalino,Alto,Grão,Feijão-preto
20,62,18,"29,36","64,99","7,37","61,91","87,4",Moderado,Neutro,Alto,Grão,Feijão-preto
58,71,15,"27,83","67,59","6,92","74,01","84,64",Moderado,Neutro,Alto,Grão,Feijão-preto
25,71,24,"28,5","60,45","7,19","74,92","85,01",Moderado,Neutro,Alto,Grão,Feijão-preto
52,71,16,"27,74","68,54","7,08","71,79","88,26",Moderado,Neutro,Alto,Grão,Feijão-preto
40,63,18,"30,42","67,66","6,74","63,02","95,72",Quente,Neutro,Alto,Grão,Feijão-preto
20,60,25,"27,33","69,09","6,73","61,19","80,7",Moderado,Neutro,Alto,Grão,Feijão-preto
48,61,21,"30,28","61,69","6,63","65,63","91,95",Quente,Neutro,Alto,Grão,Feijão-preto
49,68,22,"28,57","61,53","7,13","63,5","90,96",Moderado,Neutro,Alto,Grão,Feijão-preto
48,62,15,"25,37","66,64","7,54","65,82","88,2",Moderado,Alcalino,Alto,Grão,Feijão-preto
32,66,17,"34,95","65,27","7,16","70,14","91,0",Quente,Neutro,Alto,Grão,Feijão-preto
21,63,22,"25,1","67,73","6,86","74,62","83,55",Moderado,Neutro,Alto,Grão,Feijão-preto
20,72,19,"32,48","64,35","7,4","65,82","88,24",Quente,Neutro,Alto,Grão,Feijão-preto
25,65,21,"33,86","68,59","6,88","69,24","88,23",Quente,Neutro,Alto,Grão,Feijão-preto
41,78,21,"25,2","60,37","6,58","70,89","90,86",Moderado,Neutro,Alto,Grão,Feijão-preto
53,67,17,"31,78","69,02","7,3","61,47","88,96",Quente,Neutro,Alto,Grão,Feijão-preto
39,60,21,"34,9","63,6","6,97","64,73","92,3",Quente,Neutro,Alto,Grão,Feijão-preto
25,76,17,"31,74","68,64","7,24","62,31","86,45",Quente,Neutro,Alto,Grão,Feijão-preto
21,78,19,"27,16","66,76","6,92","69,85","86,8",Moderado,Neutro,Alto,Grão,Feijão-preto
57,60,17,"26,24","67,89","7,5","73,59","84,96",Moderado,Neutro,Alto,Grão,Feijão-preto
56,75,15,"30,2","60,07","7,15","66,37","86,02",Quente,Neutro,Alto,Grão,Feijão-preto
49,72,15,"31,56","67,84","7,14","74,87","88,17",Quente,Neutro,Alto,Grão,Feijão-preto
24,80,19,"29,68","69,09","6,81","65,66","88,3",Moderado,Neutro,Alto,Grão,Feijão-preto
49,76,18,"27,05","67,7","7,39","60,47","88,97",Moderado,Neutro,Alto,Grão,Feijão-preto
28,68,19,"34,64","61,39","7,7","72,43","89,99",Quente,Alcalino,Alto,Grão,Feijão-preto
55,78,21,"33,39","62,94","6,6","63,57","86,12",Quente,Neutro,Alto,Grão,Feijão-preto
50,64,25,"28,84","63,37","6,73","70,25","88,34",Moderado,Neutro,Alto,Grão,Feijão-preto
34,80,19,"31,49","63,06","6,52","71,48","91,94",Quente,Neutro,Alto,Grão,Feijão-preto
20,68,23,"25,55","63,95","7,71","63,18","84,36",Moderado,Alcalino,Alto,Grão,Feijão-preto
55,67,16,"34,37","69,69","6,6","70,27","86,64",Quente,Neutro,Alto,Grão,Feijão-preto
23,70,15,"34,6","63,11","7,4","60,42","83,69",Quente,Neutro,Alto,Grão,Feijão-preto
53,74,15,"29,43","64,94","7,52","72,18","87,91",Moderado,Alcalino,Alto,Grão,Feijão-preto
26,67,16,"29,11","67,91","7,18","67,83","90,03",Moderado,Neutro,Alto,Grão,Feijão-preto
33,80,22,"28,57","65,72","6,59","70,09","90,11",Moderado,Neutro,Alto,Grão,Feijão-preto
37,79,19,"27,54","69,35","7,14","69,41","92,88",Moderado,Neutro,Alto,Grão,Feijão-preto
33,75,21,"33,05","68,94","6,69","62,3","89,63",Quente,Neutro,Alto,Grão,Feijão-preto
22,55,20,"33,95","69,96","7,42","61,16","83,66",Quente,Neutro,Alto,Grão,Feijão-preto
20,68,17,"30,12","60,12","6,58","71,73","87,29",Quente,Neutro,Alto,Grão,Feijão-preto
43,68,20,"29,58","66,18","7,5","69,44","97,1",Moderado,Neutro,Alto,Grão,Feijão-preto
44,76,22,"27,26","68,01","7,78","68,92","91,34",Moderado,Alcalino,Alto,Grão,Feijão-preto
34,60,16,"31,36","64,25","7,32","63,86","90,86",Quente,Neutro,Alto,Grão,Feijão-preto
21,72,17,"31,52","66,56","7,58","61,71","86,27",Quente,Alcalino,Alto,Grão,Feijão-preto
25,68,19,"29,4","64,26","7,11","67,48","92,77",Moderado,Neutro,Alto,Grão,Feijão-preto
41,62,15,"29,38","64,15","7,36","65,24","93,34",Moderado,Neutro,Alto,Grão,Feijão-preto
28,65,23,"28,39","61,89","7,41","74,24","87,86",Moderado,Neutro,Alto,Grão,Feijão-preto
35,64,15,"28,47","63,54","6,5","69,53","91,74",Moderado,Neutro,Alto,Grão,Feijão-preto
52,58,16,"30,64","61,15","7,17","71,37","87,62",Quente,Neutro,Alto,Grão,Feijão-preto
58,75,25,"25,26","61,37","7,26","68,65","81,89",Moderado,Neutro,Alto,Grão,Feijão-preto
34,66,19,"32,97","60,18","7,59","73,45","92,63",Quente,Alcalino,Alto,Grão,Feijão-preto
52,70,16,"33,67","66,6","7,53","67,33","89,01",Quente,Alcalino,Alto,Grão,Feijão-preto
23,57,19,"32,84","68,0","7,25","73,4","86,43",Quente,Neutro,Alto,Grão,Feijão-preto
42,58,25,"27,46","62,9","6,51","69,46","89,49",Moderado,Neutro,Alto,Grão,Feijão-preto
37,62,17,"25,69","69,84","7,12","74,62","90,21",Moderado,Neutro,Alto,Grão,Feijão-preto
44,75,22,"30,03","64,15","7,57","71,21","93,0",Quente,Alcalino,Alto,Grão,Feijão-preto
21,80,20,"28,21","68,27","7,35","64,33","85,67",Moderado,Neutro,Alto,Grão,Feijão-preto
56,76,16,"28,27","61,19","7,51","63,3","85,35",Moderado,Alcalino,Alto,Grão,Feijão-preto
29,76,15,"28,54","64,2","7,03","69,69","88,16",Moderado,Neutro,Alto,Grão,Feijão-preto
43,61,20,"26,87","61,61","6,8","63,52","92,81",Moderado,Neutro,Alto,Grão,Feijão-preto
55,60,15,"32,8","68,78","7,16","64,11","84,81",Quente,Neutro,Alto,Grão,Feijão-preto
44,63,15,"26,42","64,51","7,34","63,47","90,35",Moderado,Neutro,Alto,Grão,Feijão-preto
29,67,21,"29,79","63,39","6,62","63,02","92,03",Moderado,Neutro,Alto,Grão,Feijão-preto
47,63,16,"27,44","67,1","6,66","72,51","90,13",Moderado,Neutro,Alto,Grão,Feijão-preto
40,68,17,"34,13","65,15","7,73","70,41","94,98",Quente,Alcalino,Alto,Grão,Feijão-preto
58,61,15,"30,95","64,23","7,4","62,79","85,22",Quente,Neutro,Alto,Grão,Feijão-preto
